,Model,Dataset,Mean_Accuracy,STD_Accuracy,Mean_AUC,STD_AUC
1,Logistic1l2,Regular,0.8163734567901235,0.02345013408651443,0.886798780487805,0.02105740728982987
2,Logistic1l2,PCA,0.8163734567901235,0.02345013408651443,0.886798780487805,0.02105740728982987
3,Logistic1l2,PCA80,0.7283024691358024,0.03417791477333448,0.7665503048780488,0.030727749432090903
4,Logistic3l2,NMF,0.6798148148148149,0.04305377446645724,0.8026692073170733,0.05271901880679089
