,Model,Dataset,Mean_Accuracy,STD_Accuracy,Mean_AUC,STD_AUC
1,Logistic60l2,Regular,0.7457253086419753,0.07910666179487805,0.8271326219512195,0.05609454668217254
2,Logistic22l2,PCA,0.7966358024691358,0.04557079690837322,0.8690685975609757,0.03298528252861741
3,Logistic10000l2,PCA80,0.7096913580246913,0.03215316200400301,0.7425045731707317,0.032771566136125176
4,Logistic1none,NMF,0.6873611111111111,0.043578041881927994,0.7620434451219512,0.040817823410519774
