,Model,Dataset,Mean_Accuracy,STD_Accuracy,Mean_AUC,STD_AUC
1,Logistic,Regular,0.6874074074074075,0.031976723716244874,0.723673780487805,0.0387719361352715
2,Logistic,PCA,0.6973148148148148,0.04188825395304599,0.7276585365853658,0.04774785838904852
3,Logistic,PCA80,0.6910802469135803,0.04166202534735064,0.7495807926829269,0.047864423064880646
4,Logistic,NMF,0.7246141975308642,0.04109010383919992,0.7813307926829267,0.04627332776344211
